version,step,R_mean,G_n_mean,n,q_tot_pred_mean,drbfn_loss,qi_loss,qtot_loss
3,3410,0.3923,5.0118,5,4.9364,0.0099,0.0263,1.4755
3,3420,0.4167,5.4913,5,5.5656,0.0107,0.0203,1.8528
3,3430,0.425,5.3775,5,5.2634,0.0119,0.0332,2.6818
3,3440,0.4294,5.3711,5,5.3395,0.0111,0.0297,2.6358
3,3450,0.425,5.5281,5,5.4956,0.0096,0.0292,2.2164
3,3460,0.4163,5.3963,5,5.3184,0.0112,0.0252,1.7102
3,3470,0.3955,5.1695,5,5.2869,0.0114,0.0205,2.0009
3,3480,0.3739,4.9429,5,5.1207,0.0122,0.0273,2.1711
3,3490,0.3953,5.2436,5,5.2437,0.0111,0.0273,1.5246
3,3500,0.3887,5.1042,5,5.1085,0.0109,0.0276,1.7792
3,3510,0.4393,5.5964,5,5.4178,0.0106,0.0388,2.4831
3,3520,0.4158,5.295,5,5.3611,0.0108,0.0222,1.7243
3,3530,0.3866,5.0861,5,5.4102,0.0098,0.0216,1.2634
3,3540,0.4254,5.3906,5,5.4776,0.0104,0.028,2.3149
3,3550,0.3857,5.1096,5,5.2602,0.0106,0.0253,1.4508
3,3560,0.42,5.508,5,5.4434,0.0106,0.0271,2.0832
3,3570,0.3963,5.1951,5,5.3434,0.0102,0.0261,1.8104
3,3580,0.392,5.1504,5,5.4135,0.0119,0.0238,2.2924
3,3590,0.3754,5.0185,5,5.1504,0.0104,0.0211,1.0375
3,3600,0.3612,4.8019,5,5.0266,0.0108,0.0213,1.6391
3,3610,0.4195,5.345,5,5.4696,0.0129,0.0319,2.5901
3,3620,0.392,5.2027,5,5.1106,0.0119,0.0295,2.2927
3,3630,0.4247,5.4517,5,5.4938,0.0118,0.0258,3.0697
3,3640,0.3833,5.0333,5,5.1054,0.0123,0.0338,1.9287
3,3650,0.4446,5.6533,5,5.4801,0.0116,0.0418,2.9546
3,3660,0.4122,5.2936,5,5.15,0.0131,0.0365,2.6597
3,3670,0.4082,5.4045,5,5.3842,0.0122,0.0227,1.8859
3,3680,0.4267,5.5451,5,5.3792,0.0115,0.0275,2.379
3,3690,0.4212,5.4351,5,5.5406,0.0122,0.025,1.8025
3,3700,0.365,4.7835,5,5.0985,0.0124,0.0244,2.3258
3,3710,0.385,5.0939,5,5.0917,0.0106,0.0228,1.9136
3,3720,0.3835,5.0333,5,5.1186,0.0121,0.0311,1.296
3,3730,0.4041,5.4278,5,5.4532,0.0112,0.0269,2.2305
3,3740,0.4498,5.6639,5,5.3314,0.0127,0.0409,2.5367
3,3750,0.3886,5.1142,5,5.1292,0.0127,0.0308,2.3633
3,3760,0.3811,5.1031,5,5.2311,0.0118,0.0294,2.1821
3,3770,0.4147,5.4222,5,5.4918,0.012,0.0362,2.3141
3,3780,0.4129,5.4443,5,5.595,0.0125,0.0299,2.4928
3,3790,0.3999,5.4293,5,5.5918,0.0112,0.0293,1.8861
3,3800,0.4051,5.4319,5,5.7561,0.012,0.0301,2.9616
3,3810,0.4143,5.4138,5,5.5451,0.012,0.0405,2.2578
3,3820,0.4172,5.4651,5,5.489,0.0105,0.0323,2.3104
3,3830,0.4266,5.4851,5,5.3729,0.0122,0.0432,2.4071
3,3840,0.4009,5.3561,5,5.3939,0.0113,0.0273,1.5044
3,3850,0.3948,5.395,5,5.4069,0.0128,0.0313,2.3477
